id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
12,msg30347576,https://bitcointalk.org/index.php?topic=2857262.0,msg30336701,515,Announcements (Altcoins),2018-02-15 14:37:33,skyhope,Newbie,28,0,,[ANN] [WHITEPAPER UPDATE] SKYHOPECOIN | DECENTRALIZED PAYMENTS FOR FREELANCERS,   thank you,False
13,msg29328616,https://bitcointalk.org/index.php?topic=2857262.0,,515,Announcements (Altcoins),2018-01-31 17:15:43,skyhope,Newbie,28,0,,[ANN] [WHITEPAPER UPDATE] SKYHOPECOIN | DECENTRALIZED PAYMENTS FOR FREELANCERS,"ANN MOVED HERE , THANK YOU",False
14,msg29329006,https://bitcointalk.org/index.php?topic=2857262.0,,515,Announcements (Altcoins),2018-01-31 17:21:40,CoderTerganteng,Member,275,11,,[ANN] [WHITEPAPER UPDATE] SKYHOPECOIN | DECENTRALIZED PAYMENTS FOR FREELANCERS,why i cant see website and whitepaper properly? can u provide  or Fix the link?,False
15,msg29329337,https://bitcointalk.org/index.php?topic=2857262.0,msg29329006,515,Announcements (Altcoins),2018-01-31 17:26:06,skyhope,Newbie,28,0,,[ANN] [WHITEPAPER UPDATE] SKYHOPECOIN | DECENTRALIZED PAYMENTS FOR FREELANCERS,   we will update soon,False
16,msg29333510,https://bitcointalk.org/index.php?topic=2857262.0,msg29329337,515,Announcements (Altcoins),2018-01-31 18:35:10,CoderTerganteng,Member,275,11,,[ANN] [WHITEPAPER UPDATE] SKYHOPECOIN | DECENTRALIZED PAYMENTS FOR FREELANCERS,  Ok i will wait for that! glad to support your project good luck,False
17,msg29353694,https://bitcointalk.org/index.php?topic=2857262.0,,515,Announcements (Altcoins),2018-02-01 03:02:06,AmoreJaz,Legendary,1400,1024,,[ANN] [WHITEPAPER UPDATE] SKYHOPECOIN | DECENTRALIZED PAYMENTS FOR FREELANCERS,employment is always a good thing but what i dislike in that situation is that there are so many people that see only the lucrative side of things and will do anything to make money even at the expense of unemployed people.,False
18,msg29358199,https://bitcointalk.org/index.php?topic=2857262.0,,515,Announcements (Altcoins),2018-02-01 05:24:29,raperinoa,Newbie,168,0,,[ANN] [WHITEPAPER UPDATE] SKYHOPECOIN | DECENTRALIZED PAYMENTS FOR FREELANCERS,got question but i think i`ll be waiting for the whitepaper,False
19,msg29374789,https://bitcointalk.org/index.php?topic=2857262.0,,515,Announcements (Altcoins),2018-02-01 10:53:51,boyz97,Full Member,658,106,,[ANN] [WHITEPAPER UPDATE] SKYHOPECOIN | DECENTRALIZED PAYMENTS FOR FREELANCERS,"  okay i see your project future now , i think is good if you already have website and whitepaper ",False
20,msg29375028,https://bitcointalk.org/index.php?topic=2857262.0,,515,Announcements (Altcoins),2018-02-01 10:57:47,lembang,Hero Member,1008,501,,[ANN] [WHITEPAPER UPDATE] SKYHOPECOIN | DECENTRALIZED PAYMENTS FOR FREELANCERS,"new projects and I see a lot of enthusiastic people here, may dev provide as detailed information as possible for this project",False
21,msg29385651,https://bitcointalk.org/index.php?topic=2857262.0,msg29353639,515,Announcements (Altcoins),2018-02-01 13:50:22,skyhope,Newbie,28,0,,[ANN] [WHITEPAPER UPDATE] SKYHOPECOIN | DECENTRALIZED PAYMENTS FOR FREELANCERS,   thank you  bounty program already soon ,False
