id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
11,msg24917999,https://bitcointalk.org/index.php?topic=2433046.0,msg24917935,1590,Announcements (Altcoins),2017-11-20 19:41:56,P E K K A,Sr. Member,490,250,,[ANN][ICO][LIVE NOW][Bounty] SRCoin | Subscription Revenue & Asset-Based Token,"      Quote for image, but there is no image and other info at this ANN Please add more info here ",False
12,msg24918291,https://bitcointalk.org/index.php?topic=2433046.0,msg24917999,1590,Announcements (Altcoins),2017-11-20 19:48:25,SRCoin2017,Newbie,46,0,,[ANN][ICO][LIVE NOW][Bounty] SRCoin | Subscription Revenue & Asset-Based Token,   Thanks for the heads up!,False
13,msg24919093,https://bitcointalk.org/index.php?topic=2433046.0,msg24917999,1590,Announcements (Altcoins),2017-11-20 20:04:36,2bfree,Sr. Member,574,251,,[ANN][ICO][LIVE NOW][Bounty] SRCoin | Subscription Revenue & Asset-Based Token,   I can't see anything also,False
14,msg24924612,https://bitcointalk.org/index.php?topic=2433046.0,msg24919093,1590,Announcements (Altcoins),2017-11-20 22:34:07,SRCoin2017,Newbie,46,0,,[ANN][ICO][LIVE NOW][Bounty] SRCoin | Subscription Revenue & Asset-Based Token,   Newbie members can't post images so I ended up going the text post route. Thanks for the heads up!,False
15,msg24925009,https://bitcointalk.org/index.php?topic=2433046.0,,1590,Announcements (Altcoins),2017-11-20 22:47:24,purplesugar,Member,126,10,,[ANN][ICO][LIVE NOW][Bounty] SRCoin | Subscription Revenue & Asset-Based Token,"Hmm...a coin to tap into the billion dollar massage chair industry. So you the after the ICO, all the revenue will go into purchasing the massage chairs and will be rented out to the public and companies? Then the profit will be shared to all ICO contributors? What is the percentage of profit sharing?",False
16,msg24930385,https://bitcointalk.org/index.php?topic=2433046.0,msg24925009,1590,Announcements (Altcoins),2017-11-21 02:18:48,SRCoin2017,Newbie,46,0,,[ANN][ICO][LIVE NOW][Bounty] SRCoin | Subscription Revenue & Asset-Based Token,"   Yup, you got the general idea of our project correct. 50% of the generated profit will be shared among the ICO contributors!",False
17,msg24931412,https://bitcointalk.org/index.php?topic=2433046.0,,1590,Announcements (Altcoins),2017-11-21 03:00:41,tippytoes,Sr. Member,896,257,,[ANN][ICO][LIVE NOW][Bounty] SRCoin | Subscription Revenue & Asset-Based Token,Why is it that the website of K Rental is under maintenance? Checking that site to see who's backing this SRCoin.,False
18,msg24932616,https://bitcointalk.org/index.php?topic=2433046.0,msg24931412,1590,Announcements (Altcoins),2017-11-21 03:49:17,SRCoin2017,Newbie,46,0,,[ANN][ICO][LIVE NOW][Bounty] SRCoin | Subscription Revenue & Asset-Based Token,"   The website was done horribly by a third party company and we are rehauling the entire site. In mean time, you can learn more about our company in the whitepaper. Starting from page 19, we listed our license, history, and pictures of the management team / stores.",False
19,msg25001506,https://bitcointalk.org/index.php?topic=2433046.0,,1590,Announcements (Altcoins),2017-11-22 07:36:24,Meandros555,Newbie,86,0,,[ANN][ICO][LIVE NOW][Bounty] SRCoin | Subscription Revenue & Asset-Based Token,Are you planning a n airdrop by any chance? thanx,False
20,msg25002226,https://bitcointalk.org/index.php?topic=2433046.0,,1590,Announcements (Altcoins),2017-11-22 07:52:19,jdbao,Full Member,280,100,,[ANN][ICO][LIVE NOW][Bounty] SRCoin | Subscription Revenue & Asset-Based Token,any airdrop?,False
21,msg25038657,https://bitcointalk.org/index.php?topic=2433046.0,msg25001506,1590,Announcements (Altcoins),2017-11-22 19:45:18,SRCoin2017,Newbie,46,0,,[ANN][ICO][LIVE NOW][Bounty] SRCoin | Subscription Revenue & Asset-Based Token,   We have no plans of it currently. I will update you if we do! Thanks for asking.,False
22,msg25145933,https://bitcointalk.org/index.php?topic=2433046.0,,1590,Announcements (Altcoins),2017-11-24 15:10:02,SRCoin2017,Newbie,46,0,,[ANN][ICO][LIVE NOW][Bounty] SRCoin | Subscription Revenue & Asset-Based Token,Error fixed on Korean whitepaper and re-upped.,False
23,msg25625864,https://bitcointalk.org/index.php?topic=2433046.0,,1590,Announcements (Altcoins),2017-12-02 19:23:58,SRCoin2017,Newbie,46,0,,[ANN][ICO][LIVE NOW][Bounty] SRCoin | Subscription Revenue & Asset-Based Token,Chinese & Japanese Whitepapers removed for rehaul,False
24,msg28290861,https://bitcointalk.org/index.php?topic=2433046.0,,1590,Announcements (Altcoins),2018-01-17 00:05:28,Creeptolady,Member,70,13,,[ANN][ICO][LIVE NOW][Bounty] SRCoin | Subscription Revenue & Asset-Based Token,"""Currently, there are five Japanese companies with a monopoly in selling the massage chairs. By entering the massage chair market with subscription business, we will tap into the untapped market.  Our goal is to accelerate the process of raising capital needed for this subscription business plan in order to achieve speed to market. And the participants of the SRCOIN throughout the world can witness the scarcity of SRCOIN through our implementation of buy back & burn policy.""   Do you intend to purchase the massage chairs from companies outside the famous Japanese 5? And if so, would it not be a better idea to partner with these companies - since they already own the market  - and introduce to them the idea of the subscription plan on a blockchain platfrom, this being your innovative idea. so you now have the ""monopoly"" on that which still works to your advantage?",False
25,msg28294333,https://bitcointalk.org/index.php?topic=2433046.0,msg28290861,1590,Announcements (Altcoins),2018-01-17 01:58:43,SRCoin2017,Newbie,46,0,,[ANN][ICO][LIVE NOW][Bounty] SRCoin | Subscription Revenue & Asset-Based Token,   Thanks for asking! Our goal is to purchase the chairs from Korea. The Japanese companies are focusing on a different business model(retail) while we focus on subscription(rental) business. Working together can be beneficial but we believe that is unnecessary since we already have the means to accomplish our goals.,False
26,msg28938778,https://bitcointalk.org/index.php?topic=2433046.0,,1590,Announcements (Altcoins),2018-01-26 03:34:06,SRCoin2017,Newbie,46,0,,[ANN][ICO][LIVE NOW][Bounty] SRCoin | Subscription Revenue & Asset-Based Token,"SRCOIN is a decentralized health information platform. Using blockchain technology, distributed and subscribed massage chairs are connected to decentralized network hubs that build health data platform, providing useful health information to patients, medical institutions, and research facilities.  SRCOIN Project 1. Massage Chair Rental Subscription : Acquire and distribute massage chairs through our rental subscription business model 2. Blockchain Health Data Platform : Connect distributed massage chairs into decentralized network hubs using blockchain technology and Construct a health data platform 3. Health Data Services : Through this platform, personal health information will be consolidated into a time series data, and the information can be used by customers or shared with personal doctors, local pharmacies, and research institutions to contribute in preventive and diagnostic healthcare",False
27,msg28938878,https://bitcointalk.org/index.php?topic=2433046.0,,1590,Announcements (Altcoins),2018-01-26 03:36:57,SRCoin2017,Newbie,46,0,,[ANN][ICO][LIVE NOW][Bounty] SRCoin | Subscription Revenue & Asset-Based Token,"ICO Timeline 1st Pre-ICO : Jan 1st ~ 31st 2018 (UTC)  2nd Pre-ICO : Feb 1st ~ 28th 2018 (UTC)  Main ICO : March 1st ~ 31st 2018 (UTC)    1st Pre-ICO Price : 1 ETH = 700,000 SRCoins + 100,000 Bonus SRCoins  2nd Pre-ICO Price : 1 ETH = 700,000 SRCoins + 50,000 Bonus SRCoins  Main ICO Price : 1 ETH = 700,000 SRCoins + No Bonus  JOIN US",False
28,msg28939455,https://bitcointalk.org/index.php?topic=2433046.0,,1590,Announcements (Altcoins),2018-01-26 03:53:51,kicauklaten,Sr. Member,840,251,,[ANN][ICO][LIVE NOW][Bounty] SRCoin | Subscription Revenue & Asset-Based Token,"A project with real life business is one of many project that need to get more attention, since they already have basic to get success. Through this opening of crypto currency based on the actual project will make the company grow bigger and stronger.",False
29,msg28941495,https://bitcointalk.org/index.php?topic=2433046.0,,1590,Announcements (Altcoins),2018-01-26 05:03:31,SRCoin2017,Newbie,46,0,,[ANN][ICO][LIVE NOW][Bounty] SRCoin | Subscription Revenue & Asset-Based Token,"Exactly!  By having a real world profit generating business as a foundation, we are able to build more sustainable value proposition for SRCOIN and establish a margin of safety for contributors in this project.  With this as a base, we are adding on blockchain technology and hope to build a health information platform ",False
