id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
467,msg35010449,https://bitcointalk.org/index.php?topic=3248955.0,msg34958990,3369,Announcements (Altcoins),2018-04-18 14:52:13,Eterbank,Member,143,10,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,"   Tokens provide its holders with significant discounts on retail transactions on their choosing, discounts subsidised by Eterbank and financed though transaction fees in the Eterbank network. We plan to issue a security token in the future, which will be easily bought with EterPay token.",False
468,msg35015655,https://bitcointalk.org/index.php?topic=3248955.0,msg34959807,3369,Announcements (Altcoins),2018-04-18 15:57:59,shikon_shard,Jr. Member,128,1,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,"  I think they don't have any retailers yet who have joined here at this project, if they have already they will surely put it on the updates for the project's development progress.",False
469,msg35041858,https://bitcointalk.org/index.php?topic=3248955.0,msg34960782,3369,Announcements (Altcoins),2018-04-18 22:55:58,tophe15,Newbie,280,0,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,  It also gives them more people supporting the project at the same time. Campaigns here can help boost the engagement coming to the project as more people will know more about ETERBANK through their tasks.,False
470,msg34661604,https://bitcointalk.org/index.php?topic=3248955.0,msg34416019,3369,Announcements (Altcoins),2018-04-14 06:43:14,MikesLeo,Newbie,196,0,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,  That expectations are really obvious as we have chose it as our choice however advertising shall be more prioritized that would drive a more traffic than now and we can expect more investors driving into the platform.,False
471,msg34664885,https://bitcointalk.org/index.php?topic=3248955.0,,3369,Announcements (Altcoins),2018-04-14 07:53:03,Mikwik,Member,518,10,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,The launch of Enter bank with all the great deeds and aspects gathering together with the definite possibilities is highly admirable as it offers the worlds first decentralized solution for bringing the crypto coins to the real world.,False
472,msg34671631,https://bitcointalk.org/index.php?topic=3248955.0,msg34407565,3369,Announcements (Altcoins),2018-04-14 09:49:19,LoverlyRomeos,Newbie,238,0,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,  As the purpose of the project is really promising and satisfies all the crypto users this will create a more attention for all the investors also we see many supporters are actively engaged.,False
473,msg34721582,https://bitcointalk.org/index.php?topic=3248955.0,,3369,Announcements (Altcoins),2018-04-15 02:29:21,MikesLeo,Newbie,196,0,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,"EterPay is building block of Eterbanks network, where token holders reap the benefit of its operations. All the operations are very effective as we could experience they work on the instructions and the result is achievable.",False
474,msg34726478,https://bitcointalk.org/index.php?topic=3248955.0,msg34407565,3369,Announcements (Altcoins),2018-04-15 05:13:23,Mikwik,Member,518,10,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,  That requires more advertising and actively reaching to all the social platforms and conveying the plan to all the investors with the complete information on various communities that can help to reach the hardcap soon.,False
475,msg34732938,https://bitcointalk.org/index.php?topic=3248955.0,msg34407195,3369,Announcements (Altcoins),2018-04-15 07:31:00,LoverlyRomeos,Newbie,238,0,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,  The foundation levels of all the plans emerged with ETERBANK is really reaping a great success as we can see the platform is available in all the social platforms there will be more traffic.,False
476,msg34735446,https://bitcointalk.org/index.php?topic=3248955.0,msg34407195,3369,Announcements (Altcoins),2018-04-15 08:16:27,MikesLeo,Newbie,196,0,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,  we are experiencing more investors participating however we need to keep supporting the project by actively sharing it to other friends and we can easily expect a greater metrics.,False
