id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
18,msg43878022,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-08-11 11:24:27,elnuma,Newbie,12,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,Great ico and go to the moon!,False
19,msg44107453,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-08-15 06:07:29,Mukhin.1002,Newbie,46,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,It is a very promising and serious project. Good team. Goals in General executable,False
20,msg44165348,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-08-16 07:19:25,ahhmad,Newbie,21,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,I sincerely wish you good luck and success !!  I officially declare that it is worth entering I believe that as long as there is good technical guarantee and safety. It will succeed.,False
21,msg44619437,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-08-24 17:54:32,Mrbee,Full Member,456,100,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,"I think there's a huge demand for a good multi-faceted crypto exchange… I might be wrong, I might be right, but if you want to ask me, I feel like these big crypto exchanges need some serious competition, so they don't get complacent.",False
22,msg42106379,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-13 15:49:27,nygell17,Jr. Member,75,6,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,I hope CTB tokens incorporates 50-70% shared trading fees to users this will catipulate CTB to newly launched competitors such as ethx,False
23,msg42119919,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-13 20:01:54,jesusmrich,Newbie,8,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,"The project is very innovative and also has a very strong team on its back and also the idea of the project is very great and I see a very good future for it. it has a brilliant future and has good prospects in the future, Go on I'm really looking forward to see you in future and will follow you every day.",False
24,msg42126009,https://bitcointalk.org/index.php?topic=4548871.0,msg40968483,19227,Announcements (Altcoins),2018-07-13 22:51:39,kartik973,Newbie,3,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange, ,False
25,msg42138777,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-14 06:41:49,Hoang Quoc,Newbie,18,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,"I liked this project, because the mission of the Coin Trade Base is to create a solid platform that can withstand any number of tributaries, discard a security threat and stand the test of time. Coin Trade Base can become the world's largest platform for exchanging crypto-currencies in the world in terms of security, trust, simplified user interface!",False
26,msg42142506,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-14 08:06:35,anvmys,Newbie,11,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,The value of this project will be better understood in the future. The project and team are very reliable.,False
27,msg42169747,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-14 16:47:30,dual77,Full Member,406,108,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,Awesome and very promising project with great ideas and WhitePaper) Team is hard working and growing community 🎉 ⚒  Join Bounty Campaign),False
28,msg42190878,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-15 02:54:39,Teamconner,Newbie,54,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,"I'm looking forward for this awesome project, the platform seems powerful and the fact that it is Decentralized that will makes this coin strong, hoping it will blast the market and im proud that I will be part of this project.",False
29,msg42198591,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-15 06:38:25,manhtuanwmc,Newbie,8,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,https://www.youtube.com/watch?v=ncz6r2jqxI8&t=127s,False
30,msg42204543,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-15 08:33:51,luckyairdrop,Newbie,5,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,such projects have always deserved attention. Good luck to the developers and the team! You will succeed!,False
31,msg42243130,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-15 18:01:03,BeJIbIu,Newbie,31,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,"I liked the project. Coin Trade Base can become the world's largest platform for exchanging crypto-currencies in the world in terms of security, simplified user interface!",False
32,msg42294568,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-16 14:29:30,Moey212,Newbie,51,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,With strong experienced management this airdrop project will be successfully,False
33,msg42308610,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-16 18:44:30,flexibilty,Newbie,11,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,A nice working webpage and airdrop system. Good work up up up...,False
34,msg42322219,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-17 02:25:55,coolnirov,Newbie,15,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,"It's very nice project! I like it very much! I'm very excited and happy to patricipate in this project! I think, it's really part of the future and one of the impotant cryptocurrency. What do you think?",False
35,msg42341487,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-17 10:29:18,dnogues,Newbie,1,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,"Investing in Exchanges is solid, since regardless markets going up or down, exchanges always take fees",False
36,msg42351796,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-17 13:35:06,kolonel_x,Sr. Member,882,250,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,"the ico concept of the exchange project is good enough to follow, the tottal coin sold is not too much. fore maybe this coin will be potential,if the token price is just 0.2 dollars I'm sure it will be a success",False
37,msg42360554,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-17 15:57:40,Cryptogu33,Newbie,5,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,"If you open your new platform to trade and offer what other exchanges do not have, you will be very well rewarded by the community. If you launch with the Fiat/BTC pair you will be very successful from the beginning.",False
38,msg42364214,https://bitcointalk.org/index.php?topic=4548871.0,,19227,Announcements (Altcoins),2018-07-17 17:06:32,Levelup007,Newbie,11,0,,COINTRADEBASE; The Leading Global Blockchain &Multi sided Crypto Exchange,Let's get the tokens trading!,False
