id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
11,msg48463581,https://bitcointalk.org/index.php?topic=5027077.0,msg48414812,35819,Marketplace (Altcoins),2018-12-05 11:59:25,thorRJ,Full Member,714,100,,[BXUNTY] FiiiCoin OFFICIALY BOUNTY CAMPAIGN! | www.fiii.io |,"    It seems that KYC will be emailed to the instructions, I also await more information about this bounty. Are you following the news on Fiii on the telegram?",False
12,msg48531097,https://bitcointalk.org/index.php?topic=5027077.0,,35819,Marketplace (Altcoins),2018-12-08 11:12:19,zoonosis,Copper Member,197,14,,[BXUNTY] FiiiCoin OFFICIALY BOUNTY CAMPAIGN! | www.fiii.io |,FiiiCoin Master Spreadsheet is now available!  Check it out HERE!,False
13,msg48540676,https://bitcointalk.org/index.php?topic=5027077.0,msg48463581,35819,Marketplace (Altcoins),2018-12-08 20:27:59,Fenya96,Member,263,10,,[BXUNTY] FiiiCoin OFFICIALY BOUNTY CAMPAIGN! | www.fiii.io |,"   Yes, the KYC information will be emailed, so try to sign up to the newsletter when the site is not down. In the Telegram group the admin mentioned that we can expect distribution of the coins next year, the estimated timeframe is 2019 Q1 January.",False
14,msg48609960,https://bitcointalk.org/index.php?topic=5027077.0,msg48455658,35819,Marketplace (Altcoins),2018-12-11 22:44:27,ohanb,Newbie,308,0,,[BXUNTY] FiiiCoin OFFICIALY BOUNTY CAMPAIGN! | www.fiii.io |,  Week 12 (05/12-11/12)  Bitcointalk Username: ohanb Ethereum Wallet Address: 0x79d4D4d7E63D7f77EbBCF55928cc36c51A27B989 Spreadsheet no: 424 Facebook Campaign Facebook profile link: https://www.facebook.com/ohan.burhanudin.98892  Link to likes & shares: 1. https://www.facebook.com/ohan.burhanudin.98892/posts/345230159625301 2. https://www.facebook.com/ohan.burhanudin.98892/posts/345868442894806 3. https://www.facebook.com/ohan.burhanudin.98892/posts/346635666151417 4. https://www.facebook.com/ohan.burhanudin.98892/posts/347165826098401 5. Link to posts: 1. https://www.facebook.com/ohan.burhanudin.98892/posts/347704652711185 2. https://www.facebook.com/ohan.burhanudin.98892/posts/348293332652317 3. https://www.facebook.com/ohan.burhanudin.98892/posts/349282472553403  Bitcointalk Username: ohanb Ethereum Wallet Address: 0x79d4D4d7E63D7f77EbBCF55928cc36c51A27B989 Spreadsheet no: 402 Twitter Campaign Twitter profile link: https://twitter.com/ohan2905burhan  Link to likes & retweets: 1. https://twitter.com/FiiiLab/status/1061846467323682816 2. https://twitter.com/FiiiLab/status/1060382762085928960 3. https://twitter.com/FiiiLab/status/1060049137729589248 4. https://twitter.com/FiiiLab/status/1059818708665884673 5. https://twitter.com/FiiiLab/status/1071359577478782976 Link to tweets: 1. https://twitter.com/ohan2905burhan/status/1071834195197014016 2. https://twitter.com/ohan2905burhan/status/1072198062020354059 3. https://twitter.com/ohan2905burhan/status/1072622258114449408,False
15,msg48658212,https://bitcointalk.org/index.php?topic=5027077.0,,35819,Marketplace (Altcoins),2018-12-14 07:46:43,Kirilp,Full Member,504,103,,[BXUNTY] FiiiCoin OFFICIALY BOUNTY CAMPAIGN! | www.fiii.io |,[Official Announcement] Regarding to the deposit issue of FiiiCoin to DigiFinex on 13 Dec 2018. https://twitter.com/FiiiLab/status/1073439932130066433,False
16,msg49120167,https://bitcointalk.org/index.php?topic=5027077.0,,35819,Marketplace (Altcoins),2019-01-08 16:15:15,Zefher,Jr. Member,266,1,,[BXUNTY] FiiiCoin OFFICIALY BOUNTY CAMPAIGN! | www.fiii.io |,"I joined the Facebook campaign, my spreadsheet was 566. My profile account is https://www.facebook.com/yank. Then my ETH address is 0x93D09187bC7706363a188BC3E889B2cb60015B9E I haven't received a reward yet ... thanks",False
17,msg49843324,https://bitcointalk.org/index.php?topic=5027077.0,,35819,Marketplace (Altcoins),2019-02-20 23:55:14,thorRJ,Full Member,714,100,,[BXUNTY] FiiiCoin OFFICIALY BOUNTY CAMPAIGN! | www.fiii.io |,"Hello, so any news about the FiiiCoin distribution for bounty campaign participants?",False
18,msg49902418,https://bitcointalk.org/index.php?topic=5027077.0,,35819,Marketplace (Altcoins),2019-02-24 18:21:53,zoonosis,Copper Member,197,14,,[BXUNTY] FiiiCoin OFFICIALY BOUNTY CAMPAIGN! | www.fiii.io |,"In order to confirm bounty participation and receive your FIII, please fill out this FORM!",False
19,msg49906725,https://bitcointalk.org/index.php?topic=5027077.0,,35819,Marketplace (Altcoins),2019-02-25 01:37:28,wesee,Newbie,1,0,,[BXUNTY] FiiiCoin OFFICIALY BOUNTY CAMPAIGN! | www.fiii.io |,is the campaign still on?,False
20,msg49914452,https://bitcointalk.org/index.php?topic=5027077.0,msg49902418,35819,Marketplace (Altcoins),2019-02-25 14:49:31,thorRJ,Full Member,714,100,,[BXUNTY] FiiiCoin OFFICIALY BOUNTY CAMPAIGN! | www.fiii.io |,"   Thanks for the information, but will it be available some spreadsheet informing the amount of Fiiicoin for each participant of the bounty campaign?",False
21,msg49941257,https://bitcointalk.org/index.php?topic=5027077.0,,35819,Marketplace (Altcoins),2019-02-27 09:24:16,Elifey,Sr. Member,713,250,,[BXUNTY] FiiiCoin OFFICIALY BOUNTY CAMPAIGN! | www.fiii.io |,"I wanted to register in FiiiPay my country is not in the list, and therefore I can not register? When will countries be added and what should be done in this case? can I not get paid?",False
22,msg50190635,https://bitcointalk.org/index.php?topic=5027077.0,msg49941257,35819,Marketplace (Altcoins),2019-03-16 19:46:06,Saverenergy,Full Member,672,100,,[BXUNTY] FiiiCoin OFFICIALY BOUNTY CAMPAIGN! | www.fiii.io |,"  Hello! I also downloaded the FiiPay application and wanted to register, but my country is not listed. How to get KYC and get a reward?",False
23,msg47882195,https://bitcointalk.org/index.php?topic=5027077.0,,35819,Marketplace (Altcoins),2018-11-14 04:59:57,Dewi08,Hero Member,980,500,,[BXUNTY] FiiiCoin OFFICIALY BOUNTY CAMPAIGN! | www.fiii.io |,Join the article campaign ID Name BitCointalk: Dewi08 Profile link: https://bitcointalk.org/index.php?action=profile;u=894088 wallet address (eth): 0x53D1Ea8619E638e286f914987D107d570fDD686B we thank you very much.,False
24,msg47890174,https://bitcointalk.org/index.php?topic=5027077.0,,35819,Marketplace (Altcoins),2018-11-14 11:09:08,Komorhan,Member,336,12,,[BXUNTY] FiiiCoin OFFICIALY BOUNTY CAMPAIGN! | www.fiii.io |,Week 10 (14.11/20.11) Twitter Campaign Twitter URL: https://twitter.com/orhansarkaya19  Tweets 1. https://twitter.com/Orhansarkaya19/status/1062663494322081793?s=19 2. https://twitter.com/Orhansarkaya19/status/1062968782153568256?s=19 3. https://twitter.com/Orhansarkaya19/status/1063361115747467266?s=19 4 5 Like+Rtweets 1. https://twitter.com/FiiiLab/status/1062277860029685760?s=19 2. https://twitter.com/FiiiLab/status/1062904123228442624?s=19 3. https://twitter.com/FiiiLab/status/1062903910078148608?s=19 4 5,False
25,msg47890816,https://bitcointalk.org/index.php?topic=5027077.0,,35819,Marketplace (Altcoins),2018-11-14 11:35:59,Bosunbossman,Newbie,279,0,,[BXUNTY] FiiiCoin OFFICIALY BOUNTY CAMPAIGN! | www.fiii.io |,## PROOF OF AUTHENTICATION  Bitcointalk Username: bosunbossman  Bitcointalk Url: https://bitcointalk.org/index.php?action=profile;u=1197648;sa=summary  ARTICLE LINK: https://www.linkedin.com/pulse/fiiicoin-ico-review-adeleke-busayo-o/?published=t  ARTICLE LINK: https://www.minds.com/bboossmmaann/blog/fiiicoin-a-versatile-scalable-and-energy-efficient-blockchai-909407582918176768  ARTICLE LINK: https://cryptocoinpravda.com/fiiicoin-ico-review-3.html,False
26,msg47894681,https://bitcointalk.org/index.php?topic=5027077.0,,35819,Marketplace (Altcoins),2018-11-14 13:56:34,qwerq999,Newbie,196,0,,[BXUNTY] FiiiCoin OFFICIALY BOUNTY CAMPAIGN! | www.fiii.io |,Week #9 (07/11 - 13/11)  Facebook Campaign    Post Links : 1. https://web.facebook.com/bahar.galsses/posts/654214261639638 2. https://web.facebook.com/bahar.galsses/posts/654702268257504 3. https://web.facebook.com/bahar.galsses/posts/655282914866106 4. https://web.facebook.com/bahar.galsses/posts/656339488093782 5. https://web.facebook.com/bahar.galsses/posts/657359401325124  Share Links : 1. https://web.facebook.com/bahar.galsses/posts/654200971640967?__xts__ =68.ARArfQQMB-NdcQMl1iXXNphOHaO6x-j2zoeBs93c_PZ3El90NmK7PZv-TFKK7GauiOkJasWjAZItMKjMz6ERJxnuE6X2P-VymQp2ZZr0jD6pmcHSi2tLxuHhQlLKssvbhn_6d3E96CCBReu2ebS86unUWmkuRIoqICZGvEDzPwO_jitLQpho-nVoMGR0W99eGqKa9OmccikByqxIpD4k0Xoj&__tn__=-R 2. https://web.facebook.com/bahar.galsses/posts/654701131590951?__xts__ =68.ARBldCUCOY9-rwo0ShXqcTj-Th5o1pScgTUCqraXA9R0n4CWbYeQiEtDVLDp900OKM4PSzd1m692wOGVZq_0UqBic2lRMIq8nFWva8ikQpe-QF4smxPsJCTwL32nKAKRIiU6KTDWAFtSD2k1QvpN-6zKjxUxtXrjRUoObNYwEb1loUueHUVNBbT1PEWcAtNFprg5HQl45DhtVwdMU1L78KV9&__tn__=-R 3. https://web.facebook.com/bahar.galsses/posts/655278024866595?__xts__ =68.ARBnQ_Am6YTxjuGuKOPqWRespzdhZYNl072mo-pTTnmqfW0E7FjScZb2ZG646CyjOcXU3vYtTrPz4wCLGemMWUhbVTY31AVDuOAg8rnwUwgGzX-HmSnMnvMnyAMqcc74KjB7PlkYzE8dHMugzLuf3Woowr4_9C3YsXyi2esHCtoADT_fIrQiseHubBhIn5tN-fjVrHV0mlJHUWKCjGqBhMO8R_yWkXqHPU4DZjVy0ZhU8by3mO_Edp3zGM08uc3N74npY09BsleAVFfh-Kla-6gCypbsUHcGvvv-vmLcdPOtnC_Ul5fwnQqGwZkd5NGXHX1uIFQPVWoZT6GPvU_6HTI&__tn__=-R 4. https://web.facebook.com/bahar.galsses/posts/656338464760551?__xts__ =68.ARA2p57GogQ0eRTa1NpOJOHP9kcdMfHqFyluA_WrHYMfrTC0MphYUHL6aFbcXcs9HSFHLgqDMVNZe1WMONyH4SWDV3vjzrOlia1veeara_IZcJ1YSAi-acoQuJyTMI-bc1RGdM6IeOiHOcKoTJXqDlZhzIJ6XcFulJnvLTlWRItBmmAPsbC855FRKSOqoZ98C94_lUGW0FodH3P2CBbglR046bCrMD_Gn-k56ay8CH0HbhIADnT8628Q5rdzRUj6xQKDZNeMtWjy98LtrNh7-bFKM7K0qjCd3bB2wIG3XYBkCOmvO7Mg_MZBzGZpKc7Zqgl5WyYHd8NfcjUO3ThgDmU&__tn__=-R 5. https://web.facebook.com/bahar.galsses/posts/657357554658642?__xts__ =68.ARBfOZT1GG0bYMPnkISr-2OSU6_t99X1oghdtcQgGI8lCb1LAqN4ni-tC6rl44FASp5R9uq5lS7uOIBboaLbxUPj3snFTX7laRFnGRCSOPBhBxQhVR5leVnJ4royTDCxA__G-eEk-g1zJwnQbyJj2DwxetVagmmeGCeKFA5OMLLVh8I2Eone2Q66jlsy7v6VxvH-tsHX82kRktaHXRc63dSl7j0LVyooseGsW2d2HmrZVtwIpiKu7IP9EMytUIMylB3t64UPVo8p2CpjbSUsO7omv5kifrJJPVw3RwSdwnm3pjtqEvjlpG5Qj8A59jA4ZVz9QSRSoJfTRRosEzx5lewsYBoFiD7o&__tn__=-R,False
