id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
23,msg23148739,https://bitcointalk.org/index.php?topic=2280646.0,msg23145612,1137,Announcements (Altcoins),2017-10-17 17:16:44,Pressco,Newbie,11,0,,[ANN] [ICO] PRESSCO | Reducing initial costs to ABSOLUTE ZERO💥,"   As we wrote above, at the moment there won't be any of these",False
24,msg23148790,https://bitcointalk.org/index.php?topic=2280646.0,msg23145401,1137,Announcements (Altcoins),2017-10-17 17:18:16,Dawson,Jr. Member,56,10,,[ANN] [ICO] PRESSCO | Reducing initial costs to ABSOLUTE ZERO💥,"   Ok, thanks.",False
25,msg23153612,https://bitcointalk.org/index.php?topic=2280646.0,,1137,Announcements (Altcoins),2017-10-17 19:27:11,Adykingcity,Sr. Member,420,250,,[ANN] [ICO] PRESSCO | Reducing initial costs to ABSOLUTE ZERO💥,why only picture 1 car? is there a special meaning behind the image of the car?,False
26,msg23154184,https://bitcointalk.org/index.php?topic=2280646.0,msg23153612,1137,Announcements (Altcoins),2017-10-17 19:43:13,Pressco,Newbie,11,0,,[ANN] [ICO] PRESSCO | Reducing initial costs to ABSOLUTE ZERO💥,"   Adykingcity, it is just an eye catching episode from our introduction video. We simply want to make everyone watch it, because our business model is clearly explained there.",False
27,msg23155230,https://bitcointalk.org/index.php?topic=2280646.0,,1137,Announcements (Altcoins),2017-10-17 20:14:35,MarmaL3X,Newbie,6,0,,[ANN] [ICO] PRESSCO | Reducing initial costs to ABSOLUTE ZERO💥,What is the date of your ICO? Will be there a presale?,False
28,msg23157750,https://bitcointalk.org/index.php?topic=2280646.0,msg23155230,1137,Announcements (Altcoins),2017-10-17 21:34:22,Pressco,Newbie,11,0,,[ANN] [ICO] PRESSCO | Reducing initial costs to ABSOLUTE ZERO💥,"   Exact date will be announced later but preliminary it will be the end of November-early December, just follow the news. Also, there won't be a presale",False
29,msg23174419,https://bitcointalk.org/index.php?topic=2280646.0,,1137,Announcements (Altcoins),2017-10-18 08:22:07,CRYPTOCR33P,Newbie,4,0,,[ANN] [ICO] PRESSCO | Reducing initial costs to ABSOLUTE ZERO💥,how long does it take to make and agreement with brand owners? is it hard?,False
30,msg23183270,https://bitcointalk.org/index.php?topic=2280646.0,msg23174419,1137,Announcements (Altcoins),2017-10-18 11:54:53,Pressco,Newbie,11,0,,[ANN] [ICO] PRESSCO | Reducing initial costs to ABSOLUTE ZERO💥,"   Due to the fact, that brand/community owner doesn't need to invest his own money, it gets really easy and fast. What is more, keep in mind that he receives 50% of profit from sales each month, so together with a full eshop infrastructure with all the products and payment systems integrated he additionaly gets passive income while doing nothing.",False
31,msg23272341,https://bitcointalk.org/index.php?topic=2280646.0,,1137,Announcements (Altcoins),2017-10-20 08:21:09,DASHP0WER,Newbie,2,0,,[ANN] [ICO] PRESSCO | Reducing initial costs to ABSOLUTE ZERO💥,hi. how many clients do you already working with,False
32,msg23310883,https://bitcointalk.org/index.php?topic=2280646.0,msg23272341,1137,Announcements (Altcoins),2017-10-21 09:40:27,Pressco,Newbie,11,0,,[ANN] [ICO] PRESSCO | Reducing initial costs to ABSOLUTE ZERO💥,   At the moment we have fully operating 64 eshops. That means that we are working and selling clothing and merchandise for 64 communities in 5 countries.,False
33,msg23558045,https://bitcointalk.org/index.php?topic=2280646.0,,1137,Announcements (Altcoins),2017-10-26 08:53:46,Pressco,Newbie,11,0,,[ANN] [ICO] PRESSCO | Reducing initial costs to ABSOLUTE ZERO💥,More about Pressco business model and hard cap in Cryptocoinsnews and Newsbtc:  https://www.cryptocoinsnews.com/actual-start-ico-hard-cap-youve-never-seen/ http://www.newsbtc.com/2017/10/23/pressco-startup-ico/,False
34,msg23661972,https://bitcointalk.org/index.php?topic=2280646.0,,1137,Announcements (Altcoins),2017-10-28 09:20:27,sev7en,Newbie,1,0,,[ANN] [ICO] PRESSCO | Reducing initial costs to ABSOLUTE ZERO💥,"hi guys. as your series A funding is quite modest, i am wondering how you plan on spreading such a small amount of funds on manufacturing, marketing, new hires, etc?",False
35,msg23756664,https://bitcointalk.org/index.php?topic=2280646.0,msg23661972,1137,Announcements (Altcoins),2017-10-30 09:35:06,Pressco,Newbie,11,0,,[ANN] [ICO] PRESSCO | Reducing initial costs to ABSOLUTE ZERO💥,"   Hello. Keeping in mind that we are not a blockchain based business and we wont need extremely-high paid developers, 7K ETH is enough to scale it. Also, we already have our IT, HR and manufacturing basis built.",False
36,msg24522125,https://bitcointalk.org/index.php?topic=2280646.0,,1137,Announcements (Altcoins),2017-11-13 17:13:37,Dipsomaniac,Full Member,476,100,,[ANN] [ICO] PRESSCO | Reducing initial costs to ABSOLUTE ZERO💥,Do you have any examples of products made by Pressco?,False
37,msg24523641,https://bitcointalk.org/index.php?topic=2280646.0,,1137,Announcements (Altcoins),2017-11-13 17:45:47,Dofus,Sr. Member,399,250,,[ANN] [ICO] PRESSCO | Reducing initial costs to ABSOLUTE ZERO💥,"With such a small cap, you guys could hit it with one 1 good investor. Would you raise the cap to let others get in if that happened?",False
38,msg24527650,https://bitcointalk.org/index.php?topic=2280646.0,,1137,Announcements (Altcoins),2017-11-13 19:17:09,earthcoin,Sr. Member,756,250,,[ANN] [ICO] PRESSCO | Reducing initial costs to ABSOLUTE ZERO💥,What would you say has been PRESSCO's biggest obstacle to date?,False
