id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
11,msg33837945,https://bitcointalk.org/index.php?topic=2816000.0,,3168,Marketplace (Altcoins),2018-04-03 13:10:29,prizrak9484,Member,406,10,,[BOUNTY][ICO] ⋘ 🔥P2pay🔥 ⋙ Peer to Peer Lending |$1500000 Million,week #10 (28.03 - 03.04)  Twitter campaing Twitter Profile Link:  https://twitter.com/mad_prizrak9484 Followerd: 9200 Retweets & Likes: 1. https://twitter.com/mad_prizrak9484/status/979006753667977217 2. https://twitter.com/mad_prizrak9484/status/979360241962897408 3. https://twitter.com/mad_prizrak9484/status/979709304180756481 4. https://twitter.com/mad_prizrak9484/status/980051833346502662 5. https://twitter.com/mad_prizrak9484/status/980389992164970496  Facebook campaing Facebook url: https://www.facebook.com/irinafox95 Friends: 5000+ Repost & like: 1. https://www.facebook.com/irinafox95/posts/2123839041169614 2. https://www.facebook.com/irinafox95/posts/2124444461109072 3. https://www.facebook.com/irinafox95/posts/2125622337657951,False
12,msg33924667,https://bitcointalk.org/index.php?topic=2816000.0,,3168,Marketplace (Altcoins),2018-04-04 14:23:01,Rakhimovich,Newbie,476,0,,[BOUNTY][ICO] ⋘ 🔥P2pay🔥 ⋙ Peer to Peer Lending |$1500000 Million,Week: #10 (29.03.2018-04.04.2018) Twitter account: https://twitter.com/Bitcoinclubuz Number of folllowers:5397+  Tweets+likes: https://twitter.com/Bitcoinclubuz/status/979297089501966337 https://twitter.com/Bitcoinclubuz/status/979345203084578816 https://twitter.com/Bitcoinclubuz/status/979580034481557504 https://twitter.com/Bitcoinclubuz/status/980491534297640961 https://twitter.com/Bitcoinclubuz/status/980812923533713410 https://twitter.com/Bitcoinclubuz/status/981167068228628481   Retweets+likes: https://twitter.com/P2PAY_Official/status/980018697355059200 https://twitter.com/P2PAY_Official/status/980395455640154112 https://twitter.com/P2PAY_Official/status/980891007167422465 https://twitter.com/P2PAY_Official/status/981431403660365825,False
13,msg34205712,https://bitcointalk.org/index.php?topic=2816000.0,,3168,Marketplace (Altcoins),2018-04-08 10:05:52,anton agus,Newbie,210,0,,[BOUNTY][ICO] ⋘ 🔥P2pay🔥 ⋙ Peer to Peer Lending |$1500000 Million,facebook campagn number of spreadsheets : 70 BtcTalk User Name : anton agus 1. https://web.facebook.com/siska.smprna/posts/721842331346494 2. https://web.facebook.com/siska.smprna/posts/723145821216145 3. https://web.facebook.com/siska.smprna/posts/723145771216150 4. https://web.facebook.com/siska.smprna/posts/723612854502775 5. https://web.facebook.com/siska.smprna/posts/724045547792839,False
14,msg34210983,https://bitcointalk.org/index.php?topic=2816000.0,,3168,Marketplace (Altcoins),2018-04-08 11:26:42,tamango,Full Member,602,100,,[BOUNTY][ICO] ⋘ 🔥P2pay🔥 ⋙ Peer to Peer Lending |$1500000 Million,Week 4.4 - 10.4 bitcointalk username   tamango bitcointalk profile link   https://bitcointalk.org/index.php?action=profile;u=1159276 twitter username: CesareCorso    twitter profile link: https://twitter.com/CesareCorso    twitteraudit:https://www.twitteraudit.com/CesareCorso    Tweets/Retweets: 1 4.4 https://twitter.com/CesareCorso/status/981500591548567552 2 5.4 https://twitter.com/CesareCorso/status/981871920600829952 3 6.4 https://twitter.com/CesareCorso/status/982243203817529345 4 7.4 https://twitter.com/CesareCorso/status/982588731726225408 5 8.4 https://twitter.com/CesareCorso/status/982942707420188674,False
15,msg32214957,https://bitcointalk.org/index.php?topic=2816000.0,,3168,Marketplace (Altcoins),2018-03-13 12:49:02,prizrak9484,Member,406,10,,[BOUNTY][ICO] ⋘ 🔥P2pay🔥 ⋙ Peer to Peer Lending |$1500000 Million,week #7 (07.03 - 13.03)  Twitter campaing Twitter Profile Link:  https://twitter.com/mad_prizrak9484 Followerd: 8400 Retweets & Likes: 1. https://twitter.com/mad_prizrak9484/status/971375864591110144 2. https://twitter.com/mad_prizrak9484/status/971728631499247617 3. https://twitter.com/mad_prizrak9484/status/972084520341180416 4. https://twitter.com/mad_prizrak9484/status/972458454630785024 5. https://twitter.com/mad_prizrak9484/status/972778972458217477  Facebook campaing Facebook url: https://www.facebook.com/irinafox95 Friends: 5000+ Repost & like: 1. https://www.facebook.com/irinafox95/posts/2111014429118742 2. https://www.facebook.com/irinafox95/posts/2111616639058521 3. https://www.facebook.com/irinafox95/posts/2112895338930651,False
16,msg32264663,https://bitcointalk.org/index.php?topic=2816000.0,msg31232479,3168,Marketplace (Altcoins),2018-03-14 04:53:26,Neil81,Member,392,10,,[BOUNTY][ICO] ⋘ 🔥P2pay🔥 ⋙ Peer to Peer Lending |$1500000 Million,   14.03 Twitter url: https://twitter.com/neil81_neil Friends 1720 Twitt https://twitter.com/neil81_neil/status/971824013218639872?s=19 https://twitter.com/neil81_neil/status/973066647698378752?s=19  Retwitt  Facebook link: http://www.facebook.com/nail.fatkhulin Friends 5200 Post https://m.facebook.com/story.php?story_fbid=1947518195319262&id=100001833015598 https://m.facebook.com/story.php?story_fbid=1952780288126386&id=100001833015598  Repost,False
17,msg32306717,https://bitcointalk.org/index.php?topic=2816000.0,,3168,Marketplace (Altcoins),2018-03-14 16:22:18,SAYDAKHMETOV,Newbie,266,0,,[BOUNTY][ICO] ⋘ 🔥P2pay🔥 ⋙ Peer to Peer Lending |$1500000 Million,Week (07.03 - 14.03) bitcointalk username: SAYDAKHMETOV bitcointalk profile link: https://bitcointalk.org/index.php?action=profile;u=1645096 twitter username: @SSaydakhmetov  twitter profile link: https://twitter.com/SSaydakhmetov    twitteraudit:https: https://www.twitteraudit.com/SSaydakhmetov  Tweets 1. https://twitter.com/SSaydakhmetov/status/971763423758385154 2. https://twitter.com/SSaydakhmetov/status/972163486338965506 3. https://twitter.com/SSaydakhmetov/status/972501932333060096 4. https://twitter.com/SSaydakhmetov/status/972790510367670272 5. https://twitter.com/SSaydakhmetov/status/973247064749506562 6. https://twitter.com/SSaydakhmetov/status/973566524232519686 7. https://twitter.com/SSaydakhmetov/status/973956531648593920  Retweets / like: 1. https://twitter.com/P2PAY_Official/status/972274413528862720 2. https://twitter.com/P2PAY_Official/status/972275171116634112 3. https://twitter.com/P2PAY_Official/status/972277021488353280,False
18,msg32315458,https://bitcointalk.org/index.php?topic=2816000.0,,3168,Marketplace (Altcoins),2018-03-14 18:22:46,Rakhimovich,Newbie,476,0,,[BOUNTY][ICO] ⋘ 🔥P2pay🔥 ⋙ Peer to Peer Lending |$1500000 Million,"Week: #7 (08.03.2018-14.03.2018) Twitter account: https://twitter.com/Bitcoinclubuz Number of folllowers:5025+  Tweets+likes: 08.03.2018   https://twitter.com/Bitcoinclubuz/status/971807359155818497 09.03.2018   https://twitter.com/Bitcoinclubuz/status/972132520140726275 10.03.2018   https://twitter.com/Bitcoinclubuz/status/972530662602395648 11.03.2018   https://twitter.com/Bitcoinclubuz/status/972821300359172096 12.03.2018   https://twitter.com/Bitcoinclubuz/status/973258968268263424  Retweets+likes: 10,03,2018   https://twitter.com/P2PAY_Official/status/972274413528862720 11,03,2018   https://twitter.com/P2PAY_Official/status/972275171116634112 12,03,2018   https://twitter.com/P2PAY_Official/status/972277021488353280",False
19,msg32514882,https://bitcointalk.org/index.php?topic=2816000.0,,3168,Marketplace (Altcoins),2018-03-17 12:29:34,Blockchaincat,Jr. Member,252,6,,[BOUNTY][ICO] ⋘ 🔥P2pay🔥 ⋙ Peer to Peer Lending |$1500000 Million,WEEK:7 (15/03-21/03) Twitter Profile Link: https://twitter.com/NitaKaminski  Retweets: 1. https://twitter.com/P2PAY_Official/status/974642894203183104 2. https://twitter.com/P2PAY_Official/status/975593395061166080  Likes: 1. https://twitter.com/P2PAY_Official/status/974642894203183104 2.  Tweets: 1. https://twitter.com/NitaKaminski/status/974985665137070080 ::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::: Facebook Profile Link: https://www.facebook.com/nita.kaminski.7 Post: 1. https://www.facebook.com/nita.kaminski.7/posts/200822170691886 2 Likes: 1. 2. 3.,False
20,msg32523301,https://bitcointalk.org/index.php?topic=2816000.0,msg32055453,3168,Marketplace (Altcoins),2018-03-17 14:31:31,tamradhwaj,Full Member,336,101,,[BOUNTY][ICO] ⋘ 🔥P2pay🔥 ⋙ Peer to Peer Lending |$1500000 Million,     #################################WEEK 8 (13/03-19/03)####################   TWITTER  12-Mar   https://twitter.com/SahuTamradhwaj/status/973032765590421504 13-Mar   https://twitter.com/SahuTamradhwaj/status/973393934788435968 14-Mar   https://twitter.com/SahuTamradhwaj/status/973393853330857984 15-Mar   https://twitter.com/SahuTamradhwaj/status/974567410249289728 16-Mar   https://twitter.com/SahuTamradhwaj/status/974567288098603008 17-Mar   https://twitter.com/P2PAY_Official/status/974642894203183104,False
