id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
14,msg48755135,https://bitcointalk.org/index.php?topic=4430681.0,msg48742161,12598,Announcements (Altcoins),2018-12-19 08:16:27,xtester,Hero Member,840,500,,Elrond | 1000x Throughput | Blazing fast TX speed,"   Good questions.  Here is the most important part of the announcement highlighted: ""Elrond and NETOPIA aim to jointly explore the potential of integrating Elrond’s token, ERD, into the NETOPIA payment platform allowing their merchants to offer on their turn to their users and clients the possibility to acquire products and services through ERD tokens as well.  This will also mean that 6,000+ merchants who are using the NETOPIA solutions will be able to accept ERD cryptocurrency overnight, with no development or operational costs on their part.""  For reference about Netopia: ""NETOPIA is the biggest electronic payment processor in Romania, expecting to process in 2018 more than 13 million digital transactions with a total value of around $400 Million.""  So to answer your questions: 1. This partnership will bring over 6000 online stores where Elrond will be accepted. Lots of other stores and means of using Elrond will come to add on this and will be announced as we advance. 2. There will not be any fee on the development or integration side for the merchants accepting Elrond. I suspect the standard fee will apply for Elrond at first. 3. Definitely. We are already working on this, and will make announcements as conclude discussions with some of the exchanges. The important part is for us to launch the tech, listings will come with that. 4. Payment utility should go live as soon as we launch the token. We expect this to happen sometime in Q1 2019. We're working hard to reach these targets.",False
15,msg48759280,https://bitcointalk.org/index.php?topic=4430681.0,,12598,Announcements (Altcoins),2018-12-19 12:20:37,xtester,Hero Member,840,500,,Elrond | 1000x Throughput | Blazing fast TX speed,"New medium post just out: Is Ethereum 2.0 overlooking communication costs?    ""While reviewing Ethereum 2.0’s available documentation, some unaddressed issues and limitations became obvious. This article examines Serenity’s design rationale, highlights some of the identified issues, offers solutions, and in the end contrasts them with our approach at Elrond.""",False
16,msg48759679,https://bitcointalk.org/index.php?topic=4430681.0,,12598,Announcements (Altcoins),2018-12-19 12:42:39,robro,Newbie,106,0,,Elrond | 1000x Throughput | Blazing fast TX speed,"These are just a number of online publications where the strategic partnership between Elrond and NETOPIA payments is featured.   Start-up.ro : https://start-up.ro/netopia-si-elrond-parteneriat-blockchain-pentru-o-noua-criptomoneda/  Forbes: https://www.forbes.ro/netopia-payments-este-cel-mai-mare-procesator-de-plati-electronice-de-pe-piata-locala-va-incheia-un-parteneriat-cu-startup-ul-romanesc-elrond-131383  Revistabiz: https://www.revistabiz.ro/disruptie-made-in-romania/  Business magazin: https://www.businessmagazin.ro/actualitate/netopia-payments-anunta-parteneriatul-cu-elrond-startup-ul-romanesc-care-dezvolta-un-nou-blockchain-si-o-noua-criptomoneda-17790211  ZF: https://www.zf.ro/business-hi-tech/netopia-a-incheiat-un-parteneriat-cu-elrond-startup-ul-romanesc-care-dezvolta-un-nou-blockchain-si-o-noua-criptomoneda-17789309  GoanadupaBitcoin: https://goanadupabitcoin.ro/bitcoin-romania/elrond-anunta-parteneriat/  nocash: https://www.nocash.info.ro/companiile-romanesti-testeaza-blockchain-pe-zona-de-plati-netopia-payments-si-startup-ul-elrond-vor-lansa-o-noua-criptomoneda-in-2019/  Orange.ro : https://www.orange.ro/info/news/zf/article/2798746  Startupcafe.ro : https://www.startupcafe.ro/afaceri/magazine-online-netopia-vand-criptomonede.htm  Pescurt.ro : http://pescurt.ro/stiri-economie/netopia-payments-anunta-parteneriatul-cu-elrond,-startup-ul-romanesc-care-dezvolta-un-nou-blockchain-si-o-noua-criptomoneda_18-12-2018_13762045  ultimele striri.eu: https://www.ultimele-stiri.eu/articol/netopia-payments-anunta-parteneriatul-cu-elrond-un-nou-startup-romanesc/4840431  ziar.com: https://www.ziar.com/news=11951836  economie.hotnews.ro: https://economie.hotnews.ro/stiri-it-22873291-magazinele-online-care-folosesc-netopia-vor-putea-vinde-criptomonede.htm#self",False
17,msg48774057,https://bitcointalk.org/index.php?topic=4430681.0,,12598,Announcements (Altcoins),2018-12-20 05:46:13,nizamcc,Legendary,1218,1007,,Elrond | 1000x Throughput | Blazing fast TX speed,"Maybe your project is promising. But it will be very difficult for you to conduct competitive activities in a crowded market with the same projects. You will need a large infusion of funds into advertising, a large infusion of funds into developers. It's complicated. But I will monitor your progress.",False
18,msg48774683,https://bitcointalk.org/index.php?topic=4430681.0,msg48755135,12598,Announcements (Altcoins),2018-12-20 06:40:45,NeuroticFish,Legendary,1988,1318,,Elrond | 1000x Throughput | Blazing fast TX speed,"   Thanks for the answers. As @nizamcc also said, it will not be easy to succeed. But you seem to be on the right track, especially if you focus on such partnerships. Another tough step would be the expansion in other countries. Good luck!",False
19,msg48781523,https://bitcointalk.org/index.php?topic=4430681.0,msg48774057,12598,Announcements (Altcoins),2018-12-20 13:26:22,xtester,Hero Member,840,500,,Elrond | 1000x Throughput | Blazing fast TX speed,"   Agree with all your points.  The most important advantage we have is that our technology is very compelling once released. In a market full of empty promises, shipping what we proposed will be an extraordinary feat. We are very close to doing that already.  The funds we will gather will be used to speed up and expand our global presence, but momentum is growing steadily.  If dapps would have a platofrm offering a 1000x improvement in fundamental architecture efficiency today, most of them would migrate instantly.  Still we recognize distribution is also critical for elrond to truly take off. That's why we're working hard on relevant partnerships that will add real utility to our ecosystem. We will continue to announce some of them which are quite exciting.  One more thing: there is also a surprise product we are working on, adding a significant edge to our distribution strategy. But more on that later ",False
20,msg48781581,https://bitcointalk.org/index.php?topic=4430681.0,msg48774683,12598,Announcements (Altcoins),2018-12-20 13:29:28,xtester,Hero Member,840,500,,Elrond | 1000x Throughput | Blazing fast TX speed,"   We are already working on that and have some relevant things to update on as soon as conclusions are reached.  In any case, this is one of the main priorities beyond shipping as fast as possible.",False
21,msg39548730,https://bitcointalk.org/index.php?topic=4430681.0,,12598,Announcements (Altcoins),2018-06-07 03:09:28,xtester,Hero Member,840,500,,Elrond | 1000x Throughput | Blazing fast TX speed,what is     value     key      roadmap     token model     partners                           team    socials,False
22,msg39551393,https://bitcointalk.org/index.php?topic=4430681.0,,12598,Announcements (Altcoins),2018-06-07 04:33:20,ParideDannio,Newbie,2,0,,Elrond | 1000x Throughput | Blazing fast TX speed,is the departure scheduled for 2019? how do you distribute the coins? will there be a ico?,False
23,msg39554676,https://bitcointalk.org/index.php?topic=4430681.0,,12598,Announcements (Altcoins),2018-06-07 06:01:13,kawetsriyanto,Sr. Member,546,313,,Elrond | 1000x Throughput | Blazing fast TX speed,"After visiting your official site, then, will be some upcoming information. It still has no advisors related to Elrond Network. But for me, you will finalize it in a short time.  Overal, I'm interested in the concept of building the Elrond Network project. I believe you can carry out the goals and attract people to join.   ",False
