,api,chart,cryptocompare,discontinued,id,name,name_alt,symbol,symbol_alt
81,coinmarketcap,False,SC,False,siacoin,siacoin,siacoin,sc,sc
82,coinmarketcap,False,BXK,False,bitbook-gambling,bitbook gambling,bitbook gambling,bxk,bxk
83,coinmarketcap,False,XVG,False,verge,verge,verge,xvg,xvg
84,coinmarketcap,False,BDX,False,beldex,beldex,beldex,bdx,bdx
85,coinmarketcap,False,FXC,False,flexacoin,flexacoin,flexacoin,fxc,fxc
86,coinmarketcap,False,NEX,False,nash-exchange,nash exchange,nash exchange,nex,nex
87,coinmarketcap,False,ETP,False,metaverse,metaverse etp,metaverse,etp,etp
88,coinmarketcap,False,SNX,False,synthetix-network-token,synthetix network token,synthetix,snx,snx
89,coinmarketcap,False,AE,False,aeternity,aeternity,aeternity,ae,ae
90,coinmarketcap,False,NRG,False,energi,energi,energi,nrg,nrg
91,coinmarketcap,False,ZIL,False,zilliqa,zilliqa,zilliqa,zil,zil
92,coinmarketcap,False,AOA,False,aurora,aurora,aurora ,aoa,aoa
93,coinmarketcap,False,DTR,False,dynamic-trading-rights,dynamic trading rights,dynamic trading rights,dtr,dtr
94,coinmarketcap,False,RIF,False,rif-token,rif token,rif token,rif,rif
95,coinmarketcap,False,ARDR,False,ardor,ardor,ardor,ardr,ardr
96,coinmarketcap,False,GNT,False,golem-network-tokens,golem,golem network token,gnt,gnt
97,coinmarketcap,False,NEXO,False,nexo,nexo,nexo,nexo,nexo
98,coinmarketcap,False,STEEM,False,steem,steem,steem,steem,steem
99,coinmarketcap,False,OKB,False,okb,okb,okex,okb,okb
100,cryptocompare,False,BTCD,False,BTCD,bitcoindark,,btcd,
101,cryptocompare,False,PPC,False,PPC,peercoin,,ppc,
102,cryptocompare,False,CRAIG,False,CRAIG,craigscoin,,craig,
103,cryptocompare,False,XBS,False,XBS,bitstake,,xbs,
104,cryptocompare,False,XPY,False,XPY,paycoin,,xpy,
105,cryptocompare,False,PRC,False,PRC,prospercoin,,prc,
106,cryptocompare,False,YBC,False,YBC,ybcoin,,ybc,
107,cryptocompare,False,DANK,False,DANK,darkkush,,dank,
108,cryptocompare,False,GIVE,False,GIVE,givecoin,,give,
109,cryptocompare,False,KOBO,False,KOBO,kobocoin,,kobo,
110,cryptocompare,False,DT,False,DT,darktoken,,dt,
111,cryptocompare,False,CETI,False,CETI,cetus coin,,ceti,
112,cryptocompare,False,SUP,False,SUP,supcoin,,sup,
113,cryptocompare,False,XPD,False,XPD,petrodollar,,xpd,
114,cryptocompare,False,GEO,False,GEO,geocoin,,geo,
115,cryptocompare,False,CHASH,False,CHASH,cleverhash,,chash,
116,cryptocompare,False,SPR,False,SPR,spreadcoin,,spr,
117,cryptocompare,False,NXTI,False,NXTI,nxti,,nxti,
118,cryptocompare,False,WOLF,False,WOLF,insanity coin,,wolf,
119,cryptocompare,False,XDP,False,XDP,dogeparty,,xdp,
120,cryptocompare,False,2015,False,2015,2015 coin,,2015,
121,cryptocompare,False,42,False,42,42 coin,,42,
122,cryptocompare,False,AC,False,AC,asia coin,,ac,
123,cryptocompare,False,ACOIN,False,ACOIN,acoin,,acoin,
124,cryptocompare,False,AERO,False,AERO,aero coin,,aero,
125,cryptocompare,False,ALF,False,ALF,alphacoin,,alf,
126,cryptocompare,False,AGS,False,AGS,aegis,,ags,
127,cryptocompare,False,AMC,False,AMC,americancoin,,amc,
128,cryptocompare,False,ALN,False,ALN,aliencoin,,aln,
129,cryptocompare,False,APEX,False,APEX,apexcoin,,apex,
130,cryptocompare,False,ARCH,False,ARCH,archcoin,,arch,
131,cryptocompare,False,ARG,False,ARG,argentum,,arg,
132,cryptocompare,False,ARI,False,ARI,aricoin,,ari,
133,cryptocompare,False,AUR,False,AUR,aurora coin,,aur,
134,cryptocompare,False,AXR,False,AXR,axron,,axr,
135,cryptocompare,False,BET,False,BET,betacoin,,bet,
136,cryptocompare,False,BEAN,False,BEAN,beancash,,bean,
137,cryptocompare,False,BLU,False,BLU,bluecoin,,blu,
138,cryptocompare,False,BLK,False,BLK,blackcoin,,blk,
139,cryptocompare,False,BOST,False,BOST,boostcoin,,bost,
140,cryptocompare,False,BQC,False,BQC,bqcoin,,bqc,
141,cryptocompare,False,XMY,False,XMY,myriadcoin,,xmy,
142,cryptocompare,False,MOON,False,MOON,mooncoin,,moon,
143,cryptocompare,False,ZET,False,ZET,zetacoin,,zet,
144,cryptocompare,False,SXC,False,SXC,sexcoin,,sxc,
145,cryptocompare,False,QTL,False,QTL,quatloo,,qtl,
146,cryptocompare,False,ENRG,False,ENRG,energycoin,,enrg,
147,cryptocompare,False,QRK,False,QRK,quarkcoin,,qrk,
148,cryptocompare,False,RIC,False,RIC,riecoin,,ric,
149,cryptocompare,False,DGC,False,DGC,digitalcoin ,,dgc,
150,cryptocompare,False,LIMX,False,LIMX,limecoinx,,limx,
151,cryptocompare,False,BTB,False,BTB,bitbar,,btb,
152,cryptocompare,False,CAIX,False,CAIX,caix,,caix,
153,cryptocompare,False,BTMK,False,BTMK,bitmark,,btmk,
154,cryptocompare,False,BUK,False,BUK,cryptobuk,,buk,
155,cryptocompare,False,CACH,False,CACH,cachecoin,,cach,
156,cryptocompare,False,CANN,False,CANN,cannabiscoin,,cann,
157,cryptocompare,False,CAP,False,CAP,bottlecaps,,cap,
158,cryptocompare,False,CASH,False,CASH,cashcoin,,cash,
159,cryptocompare,False,CAT,False,CAT,catcoin,,cat,
160,cryptocompare,False,CBX,False,CBX,cryptobullion,,cbx,
161,cryptocompare,False,CCN,False,CCN,cannacoin,,ccn,
162,cryptocompare,False,CIN,False,CIN,cindercoin,,cin,
163,cryptocompare,False,CINNI,False,CINNI,cinnicoin,,cinni,
164,cryptocompare,False,CXC,False,CXC,checkcoin,,cxc,
165,cryptocompare,False,CLAM,False,CLAM,clams,,clam,
166,cryptocompare,False,CLOAK,False,CLOAK,cloakcoin,,cloak,
167,cryptocompare,False,CLR,False,CLR,copperlark,,clr,
168,cryptocompare,False,CMC,False,CMC,cosmoscoin,,cmc,
169,cryptocompare,False,CNC,False,CNC,chinacoin,,cnc,
170,cryptocompare,False,CNL,False,CNL,concealcoin,,cnl,
171,cryptocompare,False,COMM,False,COMM,community coin,,comm,
172,cryptocompare,False,COOL,False,COOL,coolcoin,,cool,
173,cryptocompare,False,CRACK,False,CRACK,crackcoin,,crack,
174,cryptocompare,False,CRYPT,False,CRYPT,cryptcoin,,crypt,
175,cryptocompare,False,CSC,False,CSC,casinocoin,,csc,
176,cryptocompare,False,DEM,False,DEM,emark,,dem,
177,cryptocompare,False,DMD,False,DMD,diamond,,dmd,
178,cryptocompare,False,DRKC,False,DRKC,darkcash,,drkc,
179,cryptocompare,False,DSB,False,DSB,darkshibe,,dsb,
180,cryptocompare,False,DVC,False,DVC,devcoin,,dvc,
181,cryptocompare,False,EAC,False,EAC,earthcoin,,eac,
182,cryptocompare,False,EFL,False,EFL,e-gulden,,efl,
183,cryptocompare,False,ELC,False,ELC,elacoin,,elc,
184,cryptocompare,False,EMC2,False,EMC2,einsteinium,,emc2,
185,cryptocompare,False,EMD,False,EMD,emerald,,emd,
186,cryptocompare,False,EXCL,False,EXCL,exclusive coin,,excl,
187,cryptocompare,False,EXE,False,EXE,execoin,,exe,
188,cryptocompare,False,EZC,False,EZC,ezcoin,,ezc,
189,cryptocompare,False,FLAP,False,FLAP,flappy coin,,flap,
190,cryptocompare,False,FC2,False,FC2,fuel2coin,,fc2,
191,cryptocompare,False,FFC,False,FFC,fireflycoin,,ffc,
192,cryptocompare,False,FIBRE,False,FIBRE,fibre,,fibre,
193,cryptocompare,False,FRC,False,FRC,fireroostercoin,,frc,
194,cryptocompare,False,FLT,False,FLT,fluttercoin,,flt,
195,cryptocompare,False,FRK,False,FRK,franko,,frk,
196,cryptocompare,False,FRAC,False,FRAC,fractalcoin,,frac,
197,cryptocompare,False,FSTC,False,FSTC,fastcoin,,fstc,
198,cryptocompare,False,FTC,False,FTC,feathercoin,,ftc,
199,cryptocompare,False,GDC,False,GDC,grandcoin,,gdc,
200,cryptocompare,False,GLC,False,GLC,globalcoin,,glc,
201,cryptocompare,False,GLD,False,GLD,goldcoin,,gld,
202,cryptocompare,False,GLX,False,GLX,galaxycoin,,glx,
203,cryptocompare,False,GLYPH,False,GLYPH,glyphcoin,,glyph,
204,cryptocompare,False,GML,False,GML,gameleaguecoin,,gml,
205,cryptocompare,False,GUE,False,GUE,guerillacoin,,gue,
206,cryptocompare,False,HAL,False,HAL,halcyon,,hal,
207,cryptocompare,False,HBN,False,HBN,hobonickels,,hbn,
208,cryptocompare,False,HUC,False,HUC,huntercoin,,huc,
209,cryptocompare,False,HVC,False,HVC,heavycoin,,hvc,
210,cryptocompare,False,HYP,False,HYP,hyperstake,,hyp,
211,cryptocompare,False,ICB,False,ICB,icebergcoin,,icb,
212,cryptocompare,False,IFC,False,IFC,infinite coin,,ifc,
213,cryptocompare,False,IOC,False,IOC,iocoin,,ioc,
214,cryptocompare,False,IXC,False,IXC,ixcoin,,ixc,
215,cryptocompare,False,JBS,False,JBS,jumbucks coin,,jbs,
216,cryptocompare,False,JKC,False,JKC,junkcoin,,jkc,
217,cryptocompare,False,JUDGE,False,JUDGE,judgecoin,,judge,
218,cryptocompare,False,KDC,False,KDC,klondike coin,,kdc,
219,cryptocompare,False,KEYC,False,KEYC,keycoin,,keyc,
220,cryptocompare,False,KGC,False,KGC,krugercoin,,kgc,
221,cryptocompare,False,LK7,False,LK7,lucky7coin,,lk7,
222,cryptocompare,False,LKY,False,LKY,luckycoin,,lky,
223,cryptocompare,False,LSD,False,LSD,lightspeedcoin,,lsd,
224,cryptocompare,False,LTB,False,LTB,litebar ,,ltb,
225,cryptocompare,False,LTCD,False,LTCD,litecoindark,,ltcd,
226,cryptocompare,False,LTCX,False,LTCX,litecoinx,,ltcx,
227,cryptocompare,False,LXC,False,LXC,librexcoin,,lxc,
228,cryptocompare,False,LYC,False,LYC,lycancoin,,lyc,
229,cryptocompare,False,MAX,False,MAX,maxcoin,,max,
230,cryptocompare,False,MEC,False,MEC,megacoin,,mec,
231,cryptocompare,False,MED,False,MED,mediterraneancoin,,med,
232,cryptocompare,False,MINRL,False,MINRL,minerals coin,,minrl,
233,cryptocompare,False,MINT,False,MINT,mintcoin,,mint,
234,cryptocompare,False,MN,False,MN,cryptsy mining contract,,mn,
235,cryptocompare,False,MINC,False,MINC,mincoin,,minc,
236,cryptocompare,False,MRY,False,MRY,murraycoin,,mry,
237,cryptocompare,False,MZC,False,MZC,mazacoin,,mzc,
238,cryptocompare,False,NAN,False,NAN,nanotoken,,nan,
239,cryptocompare,False,NAUT,False,NAUT,nautilus coin,,naut,
240,cryptocompare,False,NAV,False,NAV,navcoin,,nav,
241,cryptocompare,False,NBL,False,NBL,nybble,,nbl,
242,cryptocompare,False,NET,False,NET,netcoin,,net,
243,cryptocompare,False,NMB,False,NMB,nimbus coin,,nmb,
244,cryptocompare,False,NRB,False,NRB,noirbits,,nrb,
245,cryptocompare,False,NOBL,False,NOBL,noblecoin,,nobl,
246,cryptocompare,False,NRS,False,NRS,noirshares,,nrs,
247,cryptocompare,False,NVC,False,NVC,novacoin,,nvc,
248,cryptocompare,False,NMC,False,NMC,namecoin,,nmc,
249,cryptocompare,False,NYAN,False,NYAN,nyancoin,,nyan,
250,cryptocompare,False,OPAL,False,OPAL,opalcoin,,opal,
251,cryptocompare,False,ORB,False,ORB,orbitcoin,,orb,
252,cryptocompare,False,PHS,False,PHS,philosophersstone,,phs,
253,cryptocompare,False,POINTS,False,POINTS,cryptsy points,,points,
