,api,chart,cryptocompare,discontinued,id,name,name_alt,symbol,symbol_alt
401,cryptocompare,False,EVENT,False,EVENT,event token,,event,
402,cryptocompare,False,1CR,False,1CR,1credit,,1cr,
403,cryptocompare,False,VIOR,False,VIOR,viorcoin,,vior,
404,cryptocompare,False,VMC,False,VMC,virtualmining coin,,vmc,
405,cryptocompare,False,MARSC,False,MARSC,marscoin,,marsc,
406,cryptocompare,False,EQM,False,EQM,equilibrium coin,,eqm,
407,cryptocompare,False,ISL,False,ISL,islacoin,,isl,
408,cryptocompare,False,QSLV,False,QSLV,quicksilver coin,,qslv,
409,cryptocompare,False,XNA,False,XNA,deoxyribose,,xna,
410,cryptocompare,False,RDN,False,RDN,radonpay,,rdn,
411,cryptocompare,False,SKB,False,SKB,skullbuzz,,skb,
412,cryptocompare,False,FCS,False,FCS,cryptofocus,,fcs,
413,cryptocompare,False,GAM,False,GAM,gambit coin,,gam,
414,cryptocompare,False,NXS,False,NXS,nexus,,nxs,
415,cryptocompare,False,EAGS,False,EAGS,eagscoin,,eags,
416,cryptocompare,False,MWC,False,MWC,multiwallet coin,,mwc,
417,cryptocompare,False,MARS,False,MARS,marscoin ,,mars,
418,cryptocompare,False,XMS,False,XMS,megastake,,xms,
419,cryptocompare,False,SPHR,False,SPHR,sphere coin,,sphr,
420,cryptocompare,False,SIGU,False,SIGU,singular,,sigu,
421,cryptocompare,False,M1,False,M1,supplyshock,,m1,
422,cryptocompare,False,DB,False,DB,darkbit,,db,
423,cryptocompare,False,CTO,False,CTO,crypto,,cto,
424,cryptocompare,False,EDGE,False,EDGE,edgecoin,,edge,
425,cryptocompare,False,BITL,False,BITL,bitlux,,bitl,
426,cryptocompare,False,FUTC,False,FUTC,futcoin,,futc,
427,cryptocompare,False,GLOBE,False,GLOBE,global,,globe,
428,cryptocompare,False,TAM,False,TAM,tamagucci,,tam,
429,cryptocompare,False,MRP,False,MRP,morpheuscoin,,mrp,
430,cryptocompare,False,CREVA,False,CREVA,creva coin,,creva,
431,cryptocompare,False,XFC,False,XFC,forever coin,,xfc,
432,cryptocompare,False,NANAS,False,NANAS,bananabits,,nanas,
433,cryptocompare,False,ACP,False,ACP,anarchists prime,,acp,
434,cryptocompare,False,DRZ,False,DRZ,droidz,,drz,
435,cryptocompare,False,BSC,False,BSC,bowscoin,,bsc,
436,cryptocompare,False,DRKT,False,DRKT,darktron,,drkt,
437,cryptocompare,False,CIRC,False,CIRC,cryptocircuits,,circ,
438,cryptocompare,False,EPY,False,EPY,empyrean,,epy,
439,cryptocompare,False,SQL,False,SQL,squall coin,,sql,
440,cryptocompare,False,CHA,False,CHA,charity coin,,cha,
